CHEMBL2|PRAZOSIN
CHEMBL578|ENALAPRIL
CHEMBL580|LORAZEPAM
CHEMBL585|TRIAMTERENE
CHEMBL588|FENOLDOPAM
CHEMBL589|ROPINIROLE
CHEMBL590|MENADIONE
CHEMBL591|ETHCHLORVYNOL
CHEMBL595|PIOGLITAZONE
CHEMBL597|PHENTOLAMINE
CHEMBL599|MELOXICAM
CHEMBL601|AMINOLEVULINIC ACID
CHEMBL602|CYSTEAMINE
CHEMBL603|ZAFIRLUKAST
CHEMBL605|PROCAINAMIDE HYDROCHLORIDE
CHEMBL606|MISOPROSTOL
CHEMBL608|PROBUCOL
CHEMBL611|TERAZOSIN
CHEMBL612|DEXTROAMPHETAMINE
CHEMBL614|PYRAZINAMIDE
CHEMBL617|CEPHALOTHIN
CHEMBL621|TRAZODONE
CHEMBL622|ETODOLAC
CHEMBL623|NEFAZODONE
CHEMBL625|THIABENDAZOLE
CHEMBL628|PENTOXIFYLLINE
CHEMBL629|AMITRIPTYLINE
CHEMBL631|PROPAFENONE
CHEMBL632|BETAMETHASONE
CHEMBL633|AMIODARONE
CHEMBL635|PREDNISONE
CHEMBL636|RIVASTIGMINE
CHEMBL637|VENLAFAXINE
CHEMBL639|AZELASTINE
CHEMBL640|PROCAINAMIDE
CHEMBL641|ATOMOXETINE
CHEMBL643|PROMETHAZINE
CHEMBL644|TRIMIPRAMINE
CHEMBL646|TRIAZOLAM
CHEMBL647|APRACLONIDINE
CHEMBL649|NADOLOL
CHEMBL650|METHYLPREDNISOLONE
CHEMBL654|MIRTAZAPINE
CHEMBL655|MIDAZOLAM
CHEMBL657|DIPHENHYDRAMINE
CHEMBL661|ALPRAZOLAM
CHEMBL667|ACETYLCHOLINE
CHEMBL668|PROTRIPTYLINE
CHEMBL669|CYCLOBENZAPRINE
CHEMBL671|THIOTEPA
CHEMBL672|FENOFIBRATE
CHEMBL675|ALENDRONATE SODIUM
CHEMBL677|LEVONORDEFRIN
CHEMBL679|EPINEPHRINE
CHEMBL680|CEFACLOR
CHEMBL681|ETOMIDATE
CHEMBL685|MEBENDAZOLE
CHEMBL686|MEFENAMIC ACID
CHEMBL690|PRAVASTATIN SODIUM
CHEMBL691|ETHINYL ESTRADIOL
CHEMBL695|TRIMETHADIONE
CHEMBL696|ETHOSUXIMIDE
CHEMBL697|METHSUXIMIDE
CHEMBL698|TETRACAINE
CHEMBL700|SULFAPYRIDINE
CHEMBL701|BACLOFEN
CHEMBL704|MESALAMINE
CHEMBL705|ALITRETINOIN
CHEMBL707|DOXAZOSIN
CHEMBL708|ZIPRASIDONE
CHEMBL709|ALFUZOSIN
CHEMBL710|FINASTERIDE
CHEMBL711|PHENINDIONE
CHEMBL712|ANISINDIONE
CHEMBL713|ENTECAVIR
CHEMBL714|ALBUTEROL
CHEMBL715|OLANZAPINE
CHEMBL716|QUETIAPINE
CHEMBL717|MEDROXYPROGESTERONE ACETATE
CHEMBL719|MUPIROCIN
CHEMBL720|BENZYL ALCOHOL
CHEMBL723|CARVEDILOL
CHEMBL726|FLUPHENAZINE
CHEMBL727|THIOGUANINE
CHEMBL728|PROCHLORPERAZINE
CHEMBL729|LOPINAVIR
CHEMBL730|NITROGLYCERIN
CHEMBL734|ACETOHYDROXAMIC ACID
CHEMBL738|THIOPENTAL SODIUM
CHEMBL741|LAMOTRIGINE
CHEMBL742|KETAMINE
CHEMBL744|RILUZOLE
CHEMBL748|PRALIDOXIME CHLORIDE
CHEMBL750|ZONISAMIDE
CHEMBL751|BROMFENAC SODIUM
CHEMBL752|ADENOSINE PHOSPHATE
CHEMBL753|PHENOXYBENZAMINE
CHEMBL761|NAPHAZOLINE
CHEMBL762|OXYMETAZOLINE
CHEMBL766|CILASTATIN
CHEMBL771|CYCLOSERINE
CHEMBL772|RESERPINE
CHEMBL773|GLYCINE
CHEMBL778|DEXMEDETOMIDINE
CHEMBL779|TADALAFIL
CHEMBL780|PENTETIC ACID
CHEMBL781|MAZINDOL
CHEMBL782|TOLBUTAMIDE
CHEMBL783|NATEGLINIDE
CHEMBL786|TAMOXIFEN CITRATE
CHEMBL787|MONTELUKAST
CHEMBL788|IDOXURIDINE
CHEMBL790|CHLORHEXIDINE
CHEMBL796|METHYLPHENIDATE
CHEMBL797|PHENSUXIMIDE
CHEMBL799|CILOSTAZOL
CHEMBL802|MINOXIDIL
CHEMBL803|CYTARABINE
CHEMBL806|FLUTAMIDE
CHEMBL807|MEMANTINE
CHEMBL809|SERTRALINE
CHEMBL812|PYRIDOSTIGMINE BROMIDE
CHEMBL814|FLUVOXAMINE
CHEMBL815|DINOPROST
CHEMBL817|TOLAZAMIDE
CHEMBL818|IOBENGUANE
CHEMBL822|TERBINAFINE
CHEMBL830|EFLORNITHINE
CHEMBL831|LOXAPINE
CHEMBL832|SULFINPYRAZONE
CHEMBL833|TICLOPIDINE
CHEMBL836|TAMSULOSIN
CHEMBL841|LOPERAMIDE
CHEMBL842|CHLOROTHIAZIDE
CHEMBL843|ROSIGLITAZONE MALEATE
CHEMBL844|BRIMONIDINE
CHEMBL846|CALCITRIOL
CHEMBL848|LENALIDOMIDE
CHEMBL849|TRICLOSAN
CHEMBL852|MELPHALAN
CHEMBL853|ZALCITABINE
CHEMBL855|TRIPROLIDINE
CHEMBL856|PRIMIDONE
CHEMBL857|BIOTIN
CHEMBL859|OXYPURINOL
CHEMBL861|MEPHENYTOIN
CHEMBL862|GUANFACINE
CHEMBL865|VALDECOXIB
CHEMBL866|MYCOPHENOLIC ACID
CHEMBL867|IOPANOIC ACID
CHEMBL869|NITROFURAZONE
CHEMBL871|ETIDRONIC ACID
CHEMBL877|TRANEXAMIC ACID
CHEMBL878|METOLAZONE
CHEMBL893|DICLOXACILLIN
CHEMBL894|BUPROPION
CHEMBL895|NALBUPHINE
CHEMBL897|PROBENECID
CHEMBL898|DIFLUNISAL
CHEMBL902|FAMOTIDINE
CHEMBL904|DEXMETHYLPHENIDATE HYDROCHLORIDE
CHEMBL905|RIZATRIPTAN
CHEMBL908|CHLORPROTHIXENE
CHEMBL911|ZOLPIDEM
CHEMBL914|FEXOFENADINE
CHEMBL916|TIROFIBAN
CHEMBL917|FLOXURIDINE
CHEMBL918|PHENACEMIDE
CHEMBL919|FOSPHENYTOIN SODIUM
CHEMBL922|ADEFOVIR DIPIVOXIL
CHEMBL923|RISEDRONIC ACID
CHEMBL924|ZOLEDRONIC ACID
CHEMBL926|DOBUTAMINE
CHEMBL927|CEFDINIR
CHEMBL928|DANTROLENE SODIUM
CHEMBL930|GLUTAMINE
CHEMBL931|HALOTHANE
CHEMBL932|DIPYRIDAMOLE
CHEMBL936|DIPHENIDOL
CHEMBL937|DIETHYLCARBAMAZINE CITRATE
CHEMBL938|SARALASIN
CHEMBL939|GEFITINIB
CHEMBL940|GABAPENTIN
CHEMBL941|IMATINIB
CHEMBL942|BISACODYL
CHEMBL944|CHLOROPROCAINE HYDROCHLORIDE
CHEMBL945|AMILORIDE
CHEMBL953|ENTACAPONE
CHEMBL956|SUPROFEN
CHEMBL957|BOSENTAN
CHEMBL960|LEFLUNOMIDE
CHEMBL962|EPOPROSTENOL SODIUM
CHEMBL964|DISULFIRAM
CHEMBL967|TEMAZEPAM
CHEMBL968|FLURAZEPAM
CHEMBL969|PRAZEPAM
CHEMBL970|HALAZEPAM
CHEMBL971|PENTOBARBITAL SODIUM
CHEMBL972|SELEGILINE
CHEMBL973|TERIFLUNOMIDE
CHEMBL976|PRAZIQUANTEL
CHEMBL977|HYDROCORTISONE HEMISUCCINATE
CHEMBL979|MEPROBAMATE
CHEMBL981|FENOFIBRIC ACID
CHEMBL982|NALMEFENE
CHEMBL983|SUCCINYLCHOLINE CHLORIDE
CHEMBL984|MIVACURIUM CHLORIDE
CHEMBL985|UREA
CHEMBL986|RETINOL
CHEMBL989|FLUOCINOLONE ACETONIDE
CHEMBL991|STAVUDINE
CHEMBL995|LOSARTAN POTASSIUM
CHEMBL998|LORATADINE
CHEMBL1002|LEVOSALBUTAMOL
CHEMBL1004|DOXYLAMINE
CHEMBL1008|BEPRIDIL
CHEMBL1009|LEVODOPA
CHEMBL1010|CEFOTAXIME SODIUM
CHEMBL1014|CANDESARTAN CILEXETIL
CHEMBL1015|EVANS BLUE
CHEMBL1017|TELMISARTAN
CHEMBL1018|DIENESTROL
CHEMBL1021|NEPAFENAC
CHEMBL1023|BEXAROTENE
CHEMBL1025|ISOFLUROPHATE
CHEMBL1026|FENOLDOPAM MESYLATE
CHEMBL1029|MIGLUSTAT
CHEMBL1034|DICLOFENAC SODIUM
CHEMBL1040|CALCIFEDIOL
CHEMBL1042|CHOLECALCIFEROL
CHEMBL1046|AMINOCAPROIC ACID
CHEMBL1051|LATANOPROST
CHEMBL1054|TRICHLORMETHIAZIDE
CHEMBL1055|CHLORTHALIDONE
CHEMBL1059|PREGABALIN
CHEMBL1064|SIMVASTATIN
CHEMBL1068|OXCARBAZEPINE
CHEMBL1069|VALSARTAN
CHEMBL1070|NABUMETONE
CHEMBL1071|OXAPROZIN
CHEMBL1072|BUMETANIDE
CHEMBL1073|GLIPIZIDE
CHEMBL1079|TIZANIDINE
CHEMBL1082|AMOXICILLIN
CHEMBL1085|ACETOPHENAZINE
CHEMBL1086|DIBUCAINE
CHEMBL1088|MESORIDAZINE
CHEMBL1089|PHENELZINE
CHEMBL1090|VIDARABINE
CHEMBL1091|HYDROCORTISONE ACETATE
CHEMBL1092|TRIHEXYPHENIDYL HYDROCHLORIDE
CHEMBL1094|FELBAMATE
CHEMBL1095|ETHOTOIN
CHEMBL1096|AMLEXANOX
CHEMBL1098|BUPIVACAINE
CHEMBL1100|PARAMETHADIONE
CHEMBL1101|BIPERIDEN
CHEMBL1102|GLUTETHIMIDE
CHEMBL1103|FURAZOLIDONE
CHEMBL1106|EPINASTINE
CHEMBL1107|HALOFANTRINE
CHEMBL1108|DROPERIDOL
CHEMBL1109|SULFAPHENAZOLE
CHEMBL1111|AMBRISENTAN
CHEMBL1112|ARIPIPRAZOLE
CHEMBL1113|AMOXAPINE
CHEMBL1115|PYRIDOSTIGMINE
CHEMBL1116|RALOXIFENE HYDROCHLORIDE
CHEMBL1117|IDARUBICIN
CHEMBL1118|DESVENLAFAXINE
CHEMBL1120|BISMUTH SUBSALICYLATE
CHEMBL1121|SINCALIDE
CHEMBL1123|DICYCLOMINE
CHEMBL1128|EDROPHONIUM CHLORIDE
CHEMBL1129|TRIFLURIDINE
CHEMBL1131|ACITRETIN
CHEMBL1133|OXYBUTYNIN CHLORIDE
CHEMBL1134|DECAMETHONIUM BROMIDE
CHEMBL1136|TELITHROMYCIN
CHEMBL1138|EZETIMIBE
CHEMBL1148|TORSEMIDE
CHEMBL1152|PREDNISOLONE ACETATE
CHEMBL1161|MOMETASONE FUROATE
CHEMBL1162|NORETHINDRONE
CHEMBL1168|RAMIPRIL
CHEMBL1170|TESTOSTERONE PROPIONATE
CHEMBL1172|DESLORATADINE
CHEMBL1174|EPTIFIBATIDE
CHEMBL1175|DULOXETINE
CHEMBL1184|ACETYLCHOLINE CHLORIDE
CHEMBL1185|ZOLMITRIPTAN
CHEMBL1190|DECAMETHONIUM
CHEMBL1194|PRILOCAINE
CHEMBL1195|PROPOXYCAINE
CHEMBL1200|BENOXINATE
CHEMBL1201|THIOTHIXENE
CHEMBL1202|CIPROFLOXACIN HYDROCHLORIDE
CHEMBL1205|NELFINAVIR MESYLATE
CHEMBL1206|ETHOPROPAZINE
CHEMBL1208|CINOXACIN
CHEMBL1215|PHENYLEPHRINE
CHEMBL1219|RABEPRAZOLE
CHEMBL1223|PENICILLIN G POTASSIUM
CHEMBL1224|ACRIVASTINE
CHEMBL1228|OXYPHENBUTAZONE
CHEMBL1231|OXYBUTYNIN
CHEMBL1233|CARISOPRODOL
CHEMBL1234|DEFEROXAMINE MESYLATE
CHEMBL1237|LISINOPRIL
CHEMBL1238|AZELAIC ACID
CHEMBL1240|PROPANTHELINE BROMIDE
CHEMBL1245|TRIMETHAPHAN CAMSYLATE
CHEMBL1256|ISOFLURANE
CHEMBL1257|ENFLURANE
CHEMBL1261|CITRIC ACID
CHEMBL1263|SALMETEROL
CHEMBL1265|ADAPALENE
CHEMBL1272|REPAGLINIDE
CHEMBL1274|NILUTAMIDE
CHEMBL1275|PERGOLIDE MESYLATE
CHEMBL1278|NARATRIPTAN
CHEMBL1280|VERAPAMIL HYDROCHLORIDE
CHEMBL1282|IMIQUIMOD
CHEMBL1286|LEVETIRACETAM
CHEMBL1289|HALOPROGIN
CHEMBL1292|CLOFAZIMINE
CHEMBL1294|QUINIDINE
CHEMBL1301|HYDROXYSTILBAMIDINE
CHEMBL1303|ROTIGOTINE
CHEMBL1305|ANTAZOLINE
CHEMBL1306|TERCONAZOLE
CHEMBL1308|FOMEPIZOLE
CHEMBL1311|ISOSORBIDE MONONITRATE
CHEMBL1314|TIOPRONIN
CHEMBL1316|CARPROFEN
CHEMBL1321|PROCARBAZINE
CHEMBL1324|TOLCAPONE
CHEMBL1328|PENTAGASTRIN
CHEMBL1336|SORAFENIB
CHEMBL1337|NITISINONE
CHEMBL1339|VARDENAFIL HYDROCHLORIDE
CHEMBL1341|METHOXYFLURANE
CHEMBL1345|GUANETHIDINE MONOSULFATE
CHEMBL1346|DARIFENACIN
CHEMBL1349|VALACYCLOVIR
CHEMBL1351|CARBOPLATIN
CHEMBL1354|SODIUM ACETATE
CHEMBL1358|FULVESTRANT
CHEMBL1363|ARFORMOTEROL
CHEMBL1370|BUDESONIDE
CHEMBL1371|CHLORZOXAZONE
CHEMBL1372|OXIGLUTATIONE
CHEMBL1373|MODAFINIL
CHEMBL1382|TOLTERODINE
CHEMBL1387|NORETHYNODREL
CHEMBL1388|MONOBENZONE
CHEMBL1389|LEVONORGESTREL
CHEMBL1393|SPIRONOLACTONE
CHEMBL1395|METHYLTESTOSTERONE
CHEMBL1396|VARENICLINE
CHEMBL1399|ANASTROZOLE
CHEMBL1401|NITAZOXANIDE
CHEMBL1404|RANOLAZINE
CHEMBL1405|ESTRONE
CHEMBL1409|FLUVOXAMINE MALEATE
CHEMBL1410|NONOXYNOL 9
CHEMBL1421|DASATINIB
CHEMBL1423|PIMOZIDE
CHEMBL1425|MERCAPTOPURINE
CHEMBL1428|NIMODIPINE
CHEMBL1431|METFORMIN
CHEMBL1433|DOXYCYCLINE ANHYDROUS
CHEMBL1435|CEFAZOLIN
CHEMBL1437|NOREPINEPHRINE
CHEMBL1440|TETRACYCLINE
CHEMBL1444|LETROZOLE
CHEMBL1445|FLUOXYMESTERONE
CHEMBL1448|NICLOSAMIDE
CHEMBL1451|TRIAMCINOLONE
CHEMBL1455|ALTRETAMINE
CHEMBL1456|MYCOPHENOLATE MOFETIL
CHEMBL1460|DIDANOSINE
CHEMBL1464|WARFARIN
CHEMBL1465|PHENPROCOUMON
CHEMBL1466|DICUMAROL
CHEMBL1467|ALLOPURINOL
CHEMBL1471|APREPITANT
CHEMBL1473|FLUTICASONE PROPIONATE
CHEMBL1479|DANAZOL
CHEMBL1480|FELODIPINE
CHEMBL1481|GLIMEPIRIDE
CHEMBL1483|ALBENDAZOLE
CHEMBL1484|NICARDIPINE
CHEMBL1486|TENOFOVIR DISOPROXIL FUMARATE
CHEMBL1488|URACIL MUSTARD
CHEMBL1489|AZACITIDINE
CHEMBL1491|AMLODIPINE
CHEMBL1492|DIPHENYLPYRALINE
CHEMBL1493|FLAVOXATE
CHEMBL1497|BETAMETHASONE VALERATE
CHEMBL1501|FLUOCINONIDE
CHEMBL1502|PANTOPRAZOLE
CHEMBL1503|OMEPRAZOLE
CHEMBL1504|TRIAMCINOLONE ACETONIDE
CHEMBL1509|DROSPIRENONE
CHEMBL1511|ESTRADIOL VALERATE
CHEMBL1512|FLUNISOLIDE
CHEMBL1513|IRBESARTAN
CHEMBL1515|METHIMAZOLE
CHEMBL1517|OXYTETRACYCLINE
CHEMBL1518|PROPYLTHIOURACIL
CHEMBL1519|TRANDOLAPRIL
CHEMBL1521|ZALEPLON
CHEMBL1522|ESZOPICLONE
CHEMBL1525|PERMETHRIN
CHEMBL1529|DIPHENIDOL HYDROCHLORIDE
CHEMBL1531|ETONOGESTREL
CHEMBL1532|QUINETHAZONE
CHEMBL1533|DESOGESTREL
CHEMBL1534|RIBOFLAVIN
CHEMBL1536|ERGOCALCIFEROL
CHEMBL1540|PENCICLOVIR
CHEMBL1541|CEFIXIME
CHEMBL1542|AZATHIOPRINE
CHEMBL1544|LIOTHYRONINE
CHEMBL1549|HYDROCORTISONE CYPIONATE
CHEMBL1551|URSODIOL
CHEMBL1554|DACTINOMYCIN
CHEMBL1555|GALANTAMINE HYDROBROMIDE
CHEMBL1557|DOPAMINE HYDROCHLORIDE
CHEMBL1558|PRAZOSIN HYDROCHLORIDE
CHEMBL1559|MICONAZOLE NITRATE
CHEMBL1560|CAPTOPRIL
CHEMBL1561|MIGLITOL
CHEMBL1563|DAUNORUBICIN HYDROCHLORIDE
CHEMBL1564|DIPHENYLPYRALINE HYDROCHLORIDE
CHEMBL1566|ACARBOSE
CHEMBL1567|SUNITINIB MALATE
CHEMBL1569|AMANTADINE HYDROCHLORIDE
CHEMBL1571|TESTOLACTONE
CHEMBL1574|PHENTERMINE
CHEMBL1577|METHYCLOTHIAZIDE
CHEMBL1578|ANISOTROPINE METHYLBROMIDE
CHEMBL1580|PENTOSTATIN
CHEMBL1584|PIPERACETAZINE
CHEMBL1585|PIPOBROMAN
CHEMBL1587|POLYTHIAZIDE
CHEMBL1588|THIAMINE
CHEMBL1589|ACETOHEXAMIDE
CHEMBL1590|PSEUDOEPHEDRINE
CHEMBL1591|DEMECLOCYCLINE
CHEMBL1596|CARBENICILLIN INDANYL
CHEMBL1597|DIMERCAPROL
CHEMBL1601|CEFONICID
CHEMBL1607|TOPOTECAN HYDROCHLORIDE
CHEMBL1611|PHENYTOIN SODIUM
CHEMBL1614|DESLANOSIDE
CHEMBL1616|APOMORPHINE HYDROCHLORIDE
CHEMBL1617|RIFAXIMIN
CHEMBL1619|CLADRIBINE
CHEMBL1620|DIPHENHYDRAMINE HYDROCHLORIDE
CHEMBL1621|PALIPERIDONE
CHEMBL1622|FOLIC ACID
CHEMBL1624|LEVOTHYROXINE
CHEMBL1625|OXYBENZONE
CHEMBL1626|CLEMASTINE
CHEMBL1632|CEPHALOTHIN SODIUM
CHEMBL1633|KETOTIFEN FUMARATE
CHEMBL1637|GEMCITABINE HYDROCHLORIDE
CHEMBL1642|IMATINIB MESYLATE
CHEMBL1643|RIBAVIRIN
CHEMBL1646|INDOCYANINE GREEN
CHEMBL1648|ISRADIPINE
CHEMBL1650|CORTISONE ACETATE
CHEMBL1653|PHENIRAMINE MALEATE
CHEMBL1654|RISEDRONATE SODIUM
CHEMBL1657|TAZAROTENE
CHEMBL1659|CHLORPHENIRAMINE MALEATE
CHEMBL1660|RIFAPENTINE
CHEMBL1668|RESCINNAMINE
CHEMBL1670|MITOTANE
CHEMBL1671|PROPRANOLOL HYDROCHLORIDE
CHEMBL1676|FLUTICASONE FUROATE
CHEMBL1677|TACRINE HYDROCHLORIDE
CHEMBL1678|DONEPEZIL HYDROCHLORIDE
CHEMBL1680|OCTREOTIDE
CHEMBL1683|HYDROCORTISONE BUTYRATE
CHEMBL1684|BENDROFLUMETHIAZIDE
CHEMBL1685|DEZOCINE
CHEMBL1689|TOLAZOLINE HYDROCHLORIDE
CHEMBL1690|HYDROXYCHLOROQUINE SULFATE
CHEMBL1691|BETAXOLOL HYDROCHLORIDE
CHEMBL1692|IMIPRAMINE HYDROCHLORIDE
CHEMBL1693|DIETHYLPROPION HYDROCHLORIDE
CHEMBL1694|BENAZEPRIL HYDROCHLORIDE
CHEMBL1695|TIAGABINE HYDROCHLORIDE
CHEMBL1696|DESIPRAMINE HYDROCHLORIDE
CHEMBL1697|DILTIAZEM HYDROCHLORIDE
CHEMBL1698|BUPROPION HYDROCHLORIDE
CHEMBL1699|MEMANTINE HYDROCHLORIDE
CHEMBL1700|SOTALOL HYDROCHLORIDE
CHEMBL1702|ATOMOXETINE HYDROCHLORIDE
CHEMBL1703|METFORMIN HYDROCHLORIDE
CHEMBL1705|CLONIDINE HYDROCHLORIDE
CHEMBL1706|NAPHAZOLINE HYDROCHLORIDE
CHEMBL1707|LOPERAMIDE HYDROCHLORIDE
CHEMBL1708|PAROXETINE HYDROCHLORIDE
CHEMBL1709|SERTRALINE HYDROCHLORIDE
CHEMBL1711|ISOPROTERENOL HYDROCHLORIDE
CHEMBL1713|CHLORPROMAZINE HYDROCHLORIDE
CHEMBL1714|KETAMINE HYDROCHLORIDE
CHEMBL1715|PIOGLITAZONE HYDROCHLORIDE
CHEMBL1716|CYPROHEPTADINE HYDROCHLORIDE
CHEMBL1717|TICLOPIDINE HYDROCHLORIDE
CHEMBL1718|NALOXONE HYDROCHLORIDE
CHEMBL1719|OLOPATADINE HYDROCHLORIDE
CHEMBL1720|PALONOSETRON HYDROCHLORIDE
CHEMBL1722|METHYLPHENIDATE HYDROCHLORIDE
CHEMBL1723|ALFUZOSIN HYDROCHLORIDE
CHEMBL1724|MEPENZOLATE BROMIDE
CHEMBL1726|NISOLDIPINE
CHEMBL1727|CEPHALEXIN
